Metabolite_name	RefMet_name	3058(1)-01_12_1_748	3058(1)-02_12_1_749	3058(2)-01_13_1_750	3058(2)-02_13_1_751	3058(3)-01_14_1_752	3058(3)-02_14_1_753	3058(4)-01_15_1_754	3058(4)-02_15_1_755	3058(5)-01_16_1_756	3058(5)-02_16_1_757	3066(1)-01_7_1_738	3066(1)-02_7_1_739	3066(2)-01_8_1_740	3066(2)-02_8_1_741	3066(3)-01_9_1_742	3066(3)-02_9_1_743	3066(4)-01_10_1_744	3066(4)-02_10_1_745	3066(5)-01_11_1_746	3066(5)-02_11_1_747	CR1-01_2_1_728	CR1-02_2_1_729	CR2-01_3_1_730	CR2-02_3_1_731	CR3-01_4_1_732	CR3-02_4_1_733	CR4-01_5_1_734	CR4-02_5_1_735	CR5-01_6_1_736	CR5-02_6_1_737
Factors	-	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3058	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:3066	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control	Treatment:Control
Pantothenic acid	Pantothenic acid	6664	7968	8316	8096	6060	7114	7842	6888	6992	7220	9842	9936	8032	10170	6170	6750	6330	8174	7186	8594	3982	4202	5690	4894	5266	4382	4522	3724	5270	6054
PC(16:0/16:0)	PC 16:0/16:0	14004	16928	15100	14386	12742	10820	10612	10428	9182	8478	11868	13396	13964	13672	9722	10362	10366	11000	10108	11022	74470	72710	90674	67430	67250	52972	34740	18840	10278	11412
PC(18:1(9Z)/18:1(9Z))	PC 18:1(9Z)/18:1(9Z)	4526	4100	4466	4668	4504	3164	2484	2040	2134	3632	4052	2674	2482	2712	2058	3106	3148	2062	2356	3502	2038	1838	1230	1434	1322	1296	1012	792	2412	3798
Phenol	Phenol	1642	2004	628	884	1552		1808	1760	652	944	1530	962	938	842	1002	1228	1692	1224	962	788	1450	1502	802	748	1756	1912	2290	1882	1272	896
Phenylacetaldehyde	Phenylacetaldehyde	6036	5536	4690	4874	4998	4846	4856	5010	5728	6550	3884	3380	5342	5076	4528	4542	6146	5854	6088	4530	3412	4254	5146	4420	5550	5044	5628	5786	5682	5774
Phenylpropiolic acid	Phenylpropiolic acid	5146	5366	4476	4874	4508	4964	3544	3810	3770	4290	4710	3800	4668	4668	3956	3974	4588	4568	4034	3956		3072		4504	3950				4406	5576
Phosphoric acid	Phosphoric acid	3962	4414	2762	3864	1028	1398	252	302	1000	1016	2272	2300	412	678	1360	984	3448	2466	1612	1436	1030	610	2850	1860	142	484	504	244	552	884
Pipecolic acid	Pipecolic acid	160	352	910	654	414	662	290	432	876	598	1130	1166	910	1254	472	848	1012	768	920	1656	484	558	960	1026	382	378	462	722	1546	1194
Propionic acid	Propionic acid	7874	9094	17106	16934	9856	8010	4834	4318	11526	12898	10482	10126	19580	20938	19516	17646	17482	17990	18168	17676	5724	5328	11086	8734	8656	5744	6748	6052	17110	17706
Propranolol	Propranolol	808	876	1634	1632	868	912	1004	1394	1064	1312	1646	1836	1348	1314	1802	1586	1136	1820	1046	1042	392	784	1474	1414	760	608	1018	582	1696	1238
Pyridine	Pyridine	5524	5648	7808	8206	25036	5526	1890	2676	4006	4844	5082	2008	9468	7086	3568	10880	4504		6276	4486	5234	4084	4582	3588	5292	3782		4274	3466	
Pyridoxal	Pyridoxal	986	1170	1088	1424	906	824	762	732	650	1046	1008	202	1346	1452	872	1304	1196	938	1056	820			1322	1114	1244	1190	1008	224	2172	1316
Pyroglutamic acid	Pyroglutamic acid	1804	1882	2040	1958	1878	1796	2170	1702	1692	1690		1780	1560	1720	1734	1582	1762	1836	1856	1706	1116	1226	1324	1232	1214	1266	1418	1322	1384	1574
Pyrrolidonecarboxylic acid	Pyroglutamic acid	2460	2036	2190	2112	1832	1984		1548		2028	2322		1860	1864	2472		2090	2346	2192	2094		1034	1468	1684			1772	1782	1842	1808
Riboflavin	Riboflavin	3500	3530	3134	3758	2972	3214	5230	4878	3126	2718	5364	4260		4636	7308	7064	4778	5554	3754	4316	5270	6222	6624	7758	5306	5322	7210	5668	7628	8042
Ribothymidine	Ribothymidine			2454	2154	2764		2386		1910		2960	2698	2994			2440			2866			3012			3598	2892		3034	2876	2354
Sebacic acid	Sebacic acid	1724				1632	1948	1900	1760	2506	39986	690	806	2054	1798	2600		1780	2324	1948	1658			2772	2070	2406		1762		1804	2548
Shikimic acid	Shikimic acid	728	656	826	618	646	666		604	508	642			796	752	684	608	766	798	442	382	1042	1114	1558	1410	1460	1714	1638	1436		
Sorbitol	Sorbitol	8186	8344	6668	5330	2614	2858	268	742	3590	3258	5864	4326	1172	1004	2974	3010	6230	6778	3440	4040	1458	1044	3942	3380	606	940	686	374	1328	1522
Spermine	Spermine	17740	17128	21548	22328	15626	15384	13080	14548	14558	15200	15536	13668	17700	18838	13602	14186	17320	16962	15492	15386	7512	7234	10204	11964	7732	10052	10078	8032	13966	12410
Succinylacetone	Succinylacetone	2222	1606	2338	1920	1966	1478	1840	1904	1640	1650	906	1134	1294	1582	1676	1716	1304	1714	1986	1886	460	400	804	878	752	1408	684	1250	1196	1100
Taurodeoxycholic acid	Taurodeoxycholic acid			1094	1030					1242	1004	1220	1336	1042	874	1482	1106	1304	1036	1034	904			1244	1030					1164	1430
Terephthalic acid	Terephthalic acid	776	812	1450	1560	1212	1738	1204	1194	1720	1642	246	308	1270	1568	1152	1004	1598	1932	1046	1086	300	500	774	510	648	326	622	480	384	866
Tiglylglycine	Tiglylglycine	302	264	2184	1080	388	312	454	222	1106	1126	1094	1394	1706	1122	766	684	1638	1508	1608	1030	328	508	882	802	314	324	348	358	1324	1112
Ureidosuccinic acid	N-Carbamoylaspartic acid		5896	5126	5146	5322	5712	3056		4106	4536	2696	3070	5634		5546	4614	4810	3660	8104	6550	3116	3250	5390	6414	2798	3670	3596	4858	5348	6646
Uric acid	Uric acid		8576	128	200	348	256	7418	8100	154	660	1042	1010	852		758	946	126		666	396	9648	8912	1022	1624		10024			876	232
Uridine	Uridine	1516	2106	1216	1082	1908	1610	1514	1778	994	854	946	1158	1080	996	1288	1306	816	1034	1048	1812	1618	1930	760	986	1786	1760	1706	1534	1066	1134
Uridine diphosphategalactose	Uridine diphosphategalactose	816	804	1466	892	586	980		1016	1098	722	878	1016		1056	1170	1402	2184	1676			864	1272	1176	1226	1164	154	1280	1102	1902	1702
Urocanic acid	Urocanic acid	1352	1782	1322	1486	544	418	566	274	604	842	1022	1072	346	356	610	504	1300	1082	536	672	606	324	900	818	582	362	650	364	428	622
